inputstate,birthyr,gender,sexuality,trans,educ,votereg,race,employ,internethome,internetwork,marstat,pid3,ideo5,pew_bornagain,pew_religimp,pew_churatd,pew_prayer,religpew,child18num,newsint,faminc_new,ownhome,urbancity,immstat,cit1,unionhh,investor,assets_estimate,response_time_minutes,volunteering_index
New York,1949,Male,Gay man,No,High school graduate,Yes,White,Retired,Broadband,,Divorced,Democrat,Liberal,No,Not at all important,Seldom,Seldom,Protestant,0,Some of the time,"$60,000 - $69,999",Own,Suburb,"My parents, grandparents and I were all born in the USA",Yes,"No, no one in my household has ever been a member of a labor union",Yes,67044.0,13.7,0.68
Colorado,1974,Female,Heterosexual / straight,No,Post-grad,Yes,White,Full-time,Broadband,Broadband,Married,Independent,Moderate,No,Somewhat important,Never,Once a week,Nothing in particular,1,Most of the time,"$120,000 - $149,999",Own,Suburb,"My parents, grandparents and I were all born in the USA",Yes,"No, no one in my household has ever been a member of a labor union",Yes,74975.0,16.3,1.39
Michigan,1966,Male,Heterosexual / straight,No,High school graduate,Yes,White,Full-time,Broadband,Dial-up,Married,Republican,Moderate,No,Very important,Once or twice a month,A few times a week,Roman Catholic,0,Only now and then,"$20,000 - $29,999",Rent,Rural area,My parents and I were born in the USA but at least one of my grandparents was an immigrant,Yes,"No, no one in my household has ever been a member of a labor union",No,18245.0,12.7,0.0
South Carolina,1954,Female,Heterosexual / straight,No,Post-grad,Yes,White,Part-time,Broadband,Broadband,Divorced,Democrat,Very liberal,No,Not at all important,Never,Seldom,Agnostic,0,Some of the time,"$40,000 - $49,999",Own,City,"My parents, grandparents and I were all born in the USA",Yes,"No, no one in my household has ever been a member of a labor union",No,0.0,3.9,0.72
New York,1965,Female,Heterosexual / straight,No,Post-grad,Yes,White,Full-time,Broadband,Broadband,Married,Democrat,Very liberal,No,Not too important,Never,Seldom,Jewish,0,Some of the time,"$200,000 - $249,999",Own,Suburb,My parents and I were born in the USA but at least one of my grandparents was an immigrant,Yes,"Yes, a member of my household is currently a union member",Yes,234005.0,8.5,0.38
Mississippi,1963,Female,Heterosexual / straight,No,2-year,Yes,Black,Full-time,Broadband,Broadband,Married,Democrat,Liberal,Yes,Very important,More than once a week,Several times a day,Nothing in particular,0,Some of the time,"$70,000 - $79,999",Own,Suburb,"My parents, grandparents and I were all born in the USA",Yes,"A member of my household was formerly a member of a labor union, but is not now",No,85129.0,5.0,0.5
California,1958,Female,Heterosexual / straight,No,No HS,Yes,Hispanic,Permanently disabled,Broadband,,Separated,Democrat,Moderate,No,Somewhat important,A few times a year,A few times a week,Roman Catholic,0,Most of the time,"$60,000 - $69,999",Own,Town,My parents and I were born in the USA but at least one of my grandparents was an immigrant,Yes,"No, no one in my household has ever been a member of a labor union",No,85298.0,12.2,0.42
New Jersey,1989,Male,Heterosexual / straight,No,Some college,Yes,White,Full-time,Broadband,Broadband,Never married,Republican,Conservative,No,Not at all important,Never,Never,Nothing in particular,0,Some of the time,"$70,000 - $79,999",Own,Suburb,"My parents, grandparents and I were all born in the USA",Yes,"No, no one in my household has ever been a member of a labor union",No,87655.0,10.9,0.4
Arizona,1959,Male,Gay man,No,4-year,Yes,White,Permanently disabled,Broadband,,Never married,Democrat,Very liberal,No,Not too important,A few times a year,Don't know,Agnostic,0,Most of the time,"$10,000 - $19,999",Own,Suburb,"My parents, grandparents and I were all born in the USA",Yes,"No, no one in my household has ever been a member of a labor union",No,0.0,8.9,1.0
Florida,1938,Male,Heterosexual / straight,No,High school graduate,Yes,Black,Retired,Broadband,,Separated,Democrat,Very liberal,Yes,Very important,More than once a week,Several times a day,Protestant,0,Most of the time,"$50,000 - $59,999",Own,City,"My parents, grandparents and I were all born in the USA",Yes,"No, no one in my household has ever been a member of a labor union",No,44364.0,9.7,0.3
Florida,1987,Female,Heterosexual / straight,No,Some college,Yes,Black,Homemaker,Broadband,Broadband,Never married,Independent,Not sure,No,Not too important,Never,Seldom,Something else,0,Some of the time,"$10,000 - $19,999",Rent,City,"My parents, grandparents and I were all born in the USA",Yes,"No, no one in my household has ever been a member of a labor union",Yes,64854.0,11.6,0.72
Georgia,1981,Female,Heterosexual / straight,No,High school graduate,Yes,Black,Full-time,Broadband,Dial-up,Married,Democrat,Liberal,No,Somewhat important,Seldom,A few times a week,Protestant,1,Hardly at all,"$40,000 - $49,999",Rent,City,"My parents, grandparents and I were all born in the USA",Yes,"No, no one in my household has ever been a member of a labor union",No,24771.0,14.2,1.03
Michigan,1989,Male,Bisexual,No,4-year,Yes,White,Full-time,Broadband,Broadband,Never married,Republican,Conservative,No,Not too important,Seldom,Once a day,Roman Catholic,0,Most of the time,"$20,000 - $29,999",Own,Suburb,"My parents, grandparents and I were all born in the USA",Yes,"No, no one in my household has ever been a member of a labor union",Yes,33277.0,,0.0
New York,1959,Male,Heterosexual / straight,No,4-year,Yes,White,Permanently disabled,Broadband,,Divorced,Democrat,Moderate,No,Not at all important,Never,Never,Nothing in particular,0,Most of the time,"$20,000 - $29,999",Own,Town,My parents and I were born in the USA but at least one of my grandparents was an immigrant,Yes,"No, no one in my household has ever been a member of a labor union",No,11636.0,20.2,0.35
Illinois,1969,Male,Heterosexual / straight,No,High school graduate,Yes,Black,Full-time,Broadband,Broadband,Married,Democrat,Liberal,No,Not too important,Seldom,A few times a week,Nothing in particular,1,Most of the time,"$120,000 - $149,999",Rent,City,"My parents, grandparents and I were all born in the USA",Yes,"No, no one in my household has ever been a member of a labor union",No,94212.0,18.8,0.0
Ohio,1968,Female,Heterosexual / straight,No,4-year,Yes,White,Part-time,Broadband,,Married,Democrat,Moderate,Yes,Somewhat important,Once a week,A few times a week,Nothing in particular,0,Most of the time,"$40,000 - $49,999",Own,Suburb,"My parents, grandparents and I were all born in the USA",Yes,"No, no one in my household has ever been a member of a labor union",Yes,86106.0,8.1,1.57
Utah,1970,Female,Heterosexual / straight,No,2-year,Yes,Hispanic,Full-time,Broadband,Broadband,Married,Independent,Moderate,No,Somewhat important,Seldom,Seldom,Roman Catholic,0,Some of the time,"$70,000 - $79,999",Own,Suburb,I am an immigrant to the USA and a naturalized citizen,Yes,"Yes, a member of my household is currently a union member",No,3389.0,14.7,1.14
Tennessee,1994,Male,Heterosexual / straight,No,4-year,Yes,Hispanic,Full-time,Broadband,Broadband,Never married,Independent,Moderate,No,Not at all important,Never,Never,Agnostic,0,Most of the time,"$100,000 - $119,999",Own,City,My parents and I were born in the USA but at least one of my grandparents was an immigrant,Yes,"No, no one in my household has ever been a member of a labor union",Yes,101633.0,9.7,0.0
Missouri,1971,Female,Heterosexual / straight,No,Some college,Yes,White,Full-time,Broadband,Broadband,Married,Democrat,Very liberal,No,Not at all important,Never,Never,Atheist,0,Some of the time,"$70,000 - $79,999",Own,City,"My parents, grandparents and I were all born in the USA",Yes,"Yes, a member of my household is currently a union member",No,62777.0,9.3,0.0
Oregon,1986,Female,Other,No,Post-grad,Yes,White,Full-time,Broadband,Broadband,Married,Democrat,Very liberal,No,Very important,Once or twice a month,A few times a week,Protestant,1,Some of the time,"$60,000 - $69,999",Own,Town,"My parents, grandparents and I were all born in the USA",Yes,"Yes, a member of my household is currently a union member",Yes,95028.0,7.5,0.79
Minnesota,1992,Female,Bisexual,No,High school graduate,Yes,White,Full-time,,,Domestic / civil partnership,Independent,Liberal,No,Not at all important,Never,Seldom,Buddhist,0,Only now and then,"Less than $10,000",Rent,City,"My parents, grandparents and I were all born in the USA",Yes,"No, no one in my household has ever been a member of a labor union",No,0.0,7.1,0.0
Texas,1982,Male,Heterosexual / straight,No,Post-grad,Yes,White,Full-time,Broadband,Broadband,Never married,Independent,Moderate,No,Somewhat important,Seldom,Once a day,Protestant,0,Most of the time,"$60,000 - $69,999",Rent,City,"My parents, grandparents and I were all born in the USA",Yes,"No, no one in my household has ever been a member of a labor union",Yes,41527.0,19.1,0.0
Virginia,1972,Female,Heterosexual / straight,No,High school graduate,Yes,Other,Homemaker,Broadband,Broadband,Married,Independent,Conservative,No,Very important,More than once a week,Several times a day,Something else,5,Most of the time,Prefer not to say,Rent,Town,I was born in the USA but at least one of my parents is an immigrant,Yes,"No, no one in my household has ever been a member of a labor union",No,50210.0,5.3,0.51
Virginia,1980,Male,Heterosexual / straight,No,Post-grad,Yes,White,Full-time,Broadband,Broadband,Married,Republican,Very conservative,No,Somewhat important,Once a week,Seldom,Roman Catholic,3,Most of the time,"$100,000 - $119,999",Own,Town,I was born in the USA but at least one of my parents is an immigrant,Yes,"No, no one in my household has ever been a member of a labor union",Yes,103759.0,9.0,0.11
New York,1988,Male,Gay man,Yes,Some college,Yes,White,Full-time,Broadband,Broadband,Married,Republican,Very liberal,Yes,Not too important,Seldom,Seldom,Roman Catholic,0,Most of the time,"$100,000 - $119,999",Own,City,My parents and I were born in the USA but at least one of my grandparents was an immigrant,Yes,"No, no one in my household has ever been a member of a labor union",Yes,112822.0,7.9,0.22
Alaska,1965,Male,Heterosexual / straight,No,Post-grad,Yes,White,Full-time,Broadband,Broadband,Married,Republican,Very conservative,No,Somewhat important,A few times a year,Once a day,Roman Catholic,0,Most of the time,Prefer not to say,Own,Suburb,I was born in the USA but at least one of my parents is an immigrant,Yes,"No, no one in my household has ever been a member of a labor union",Yes,72556.0,9.9,1.83
Kentucky,1976,Female,Heterosexual / straight,No,Post-grad,Yes,Black,Homemaker,Broadband,,Married,Independent,Moderate,Yes,Very important,Once a week,Several times a day,Protestant,0,Most of the time,"$70,000 - $79,999",Own,City,"My parents, grandparents and I were all born in the USA",Yes,"No, no one in my household has ever been a member of a labor union",Yes,78752.0,,0.15
New Jersey,1956,Male,Heterosexual / straight,No,4-year,Yes,White,Full-time,Broadband,Broadband,Divorced,Other,Conservative,No,Very important,A few times a year,Once a day,Protestant,0,Most of the time,"$70,000 - $79,999",Rent,City,"My parents, grandparents and I were all born in the USA",Yes,"No, no one in my household has ever been a member of a labor union",Yes,95315.0,11.8,0.0
Utah,1955,Male,Heterosexual / straight,No,Post-grad,Yes,Asian,Part-time,Broadband,Broadband,Married,Democrat,Liberal,No,Not too important,Seldom,Seldom,Buddhist,0,Most of the time,"$50,000 - $59,999",Own,Town,My parents and I were born in the USA but at least one of my grandparents was an immigrant,Yes,"A member of my household was formerly a member of a labor union, but is not now",No,0.0,12.5,0.59
Missouri,1954,Female,Heterosexual / straight,No,No HS,Yes,White,Permanently disabled,Dial-up,Dial-up,Divorced,Independent,Very conservative,Yes,Very important,Never,Several times a day,Protestant,0,Most of the time,"Less than $10,000",Rent,City,"My parents, grandparents and I were all born in the USA",Yes,"No, no one in my household has ever been a member of a labor union",No,1847.0,10.9,1.43
New York,1959,Male,Heterosexual / straight,No,High school graduate,Yes,Hispanic,Full-time,Broadband,Broadband,Married,Republican,Moderate,Yes,Somewhat important,A few times a year,Seldom,Protestant,0,Most of the time,"$120,000 - $149,999",Own,Town,I was born in the USA but at least one of my parents is an immigrant,Yes,"No, no one in my household has ever been a member of a labor union",Yes,168140.0,5.3,0.43
Kentucky,1955,Female,Prefer not to say,No,High school graduate,Yes,White,Full-time,Broadband,Broadband,Married,Democrat,Moderate,No,Very important,Once a week,Once a day,Roman Catholic,1,Only now and then,"$60,000 - $69,999",Own,Town,"My parents, grandparents and I were all born in the USA",Yes,"No, no one in my household has ever been a member of a labor union",No,69445.0,6.9,0.95
California,1967,Male,Heterosexual / straight,No,Post-grad,Yes,Asian,Full-time,Broadband,Broadband,Married,Independent,Moderate,No,Not at all important,Never,Never,Agnostic,0,Hardly at all,Prefer not to say,Own,City,I am an immigrant to the USA and a naturalized citizen,Yes,"No, no one in my household has ever been a member of a labor union",Yes,53772.0,,0.0
Montana,1989,Female,Heterosexual / straight,No,High school graduate,Yes,White,Unemployed,Dial-up,,Domestic / civil partnership,Independent,Conservative,No,Not too important,Never,Never,Nothing in particular,3,Some of the time,"Less than $10,000",Other,Rural area,"My parents, grandparents and I were all born in the USA",Yes,"No, no one in my household has ever been a member of a labor union",No,26260.0,9.5,0.0
Texas,1958,Male,Heterosexual / straight,No,4-year,Yes,White,Full-time,Broadband,Broadband,Married,Independent,Conservative,No,Not too important,Seldom,A few times a month,Protestant,0,Some of the time,Prefer not to say,Rent,City,"My parents, grandparents and I were all born in the USA",Yes,"No, no one in my household has ever been a member of a labor union",Yes,95589.0,13.8,0.0
Ohio,1948,Male,Heterosexual / straight,No,4-year,Yes,White,Retired,Broadband,Broadband,Married,Democrat,Very liberal,No,Not too important,Never,Never,Protestant,0,Most of the time,Prefer not to say,Own,Town,"My parents, grandparents and I were all born in the USA",Yes,"A member of my household was formerly a member of a labor union, but is not now",Yes,49568.0,11.8,0.0
Oklahoma,1958,Female,Heterosexual / straight,No,High school graduate,Yes,White,Permanently disabled,Broadband,,Divorced,Not sure,Not sure,Yes,Somewhat important,Never,A few times a week,Mormon,0,Don't know,"Less than $10,000",Rent,City,"My parents, grandparents and I were all born in the USA",Yes,"No, no one in my household has ever been a member of a labor union",No,26305.0,16.3,1.34
Missouri,1969,Male,Heterosexual / straight,No,High school graduate,Yes,Black,Full-time,Broadband,Broadband,Married,Democrat,Moderate,No,Very important,Seldom,A few times a week,Protestant,0,Only now and then,"$60,000 - $69,999",Own,City,"My parents, grandparents and I were all born in the USA",Yes,"No, no one in my household has ever been a member of a labor union",No,82044.0,11.3,0.28
California,1988,Male,Heterosexual / straight,No,4-year,Yes,White,Full-time,Broadband,Broadband,Married,Republican,Conservative,Yes,Very important,Once a week,Once a day,Protestant,2,Some of the time,"$50,000 - $59,999",Rent,Rural area,"My parents, grandparents and I were all born in the USA",Yes,"No, no one in my household has ever been a member of a labor union",Yes,81892.0,12.1,0.0
North Carolina,1951,Male,Heterosexual / straight,No,4-year,Yes,White,Retired,Broadband,Broadband,Domestic / civil partnership,Independent,Not sure,No,Not at all important,Never,Never,Something else,0,Most of the time,"$60,000 - $69,999",Other,City,"My parents, grandparents and I were all born in the USA",Yes,"No, no one in my household has ever been a member of a labor union",No,24515.0,8.9,0.0
Tennessee,1963,Female,Heterosexual / straight,No,High school graduate,Yes,White,Unemployed,Broadband,,Divorced,Independent,Moderate,Yes,Not too important,Never,A few times a month,Protestant,0,Most of the time,"$120,000 - $149,999",Own,Rural area,"My parents, grandparents and I were all born in the USA",Yes,"No, no one in my household has ever been a member of a labor union",Yes,163138.0,13.3,0.0
Georgia,1986,Male,Heterosexual / straight,No,4-year,Yes,White,Homemaker,Broadband,,Never married,Republican,Conservative,Yes,Very important,A few times a year,Several times a day,Protestant,0,Most of the time,Prefer not to say,Other,Suburb,"My parents, grandparents and I were all born in the USA",Yes,"No, no one in my household has ever been a member of a labor union",No,9003.0,13.0,0.58
Colorado,1946,Female,Heterosexual / straight,No,High school graduate,Yes,White,Retired,Broadband,,Divorced,Independent,Conservative,Yes,Somewhat important,Seldom,Several times a day,Protestant,0,Some of the time,"$10,000 - $19,999",Own,Suburb,My parents and I were born in the USA but at least one of my grandparents was an immigrant,Yes,"No, no one in my household has ever been a member of a labor union",No,0.0,12.6,0.79
Minnesota,1941,Female,Heterosexual / straight,No,High school graduate,Yes,White,Retired,Broadband,,Married,Republican,Moderate,No,Somewhat important,Seldom,A few times a month,Protestant,0,Most of the time,"$50,000 - $59,999",Own,Suburb,My parents and I were born in the USA but at least one of my grandparents was an immigrant,Yes,"A member of my household was formerly a member of a labor union, but is not now",Yes,53975.0,16.8,0.67
Massachusetts,1990,Female,Lesbian / gay woman,No,4-year,Yes,White,Full-time,Broadband,Broadband,Never married,Independent,Conservative,No,Not at all important,Never,Never,Roman Catholic,0,Some of the time,"$100,000 - $119,999",Own,City,"My parents, grandparents and I were all born in the USA",Yes,"No, no one in my household has ever been a member of a labor union",Yes,132903.0,,0.91
North Carolina,1961,Male,Heterosexual / straight,No,Post-grad,Yes,White,Full-time,,Broadband,Married,Independent,Moderate,No,Not too important,Seldom,A few times a week,Nothing in particular,0,Most of the time,"$120,000 - $149,999",Own,Rural area,My parents and I were born in the USA but at least one of my grandparents was an immigrant,Yes,"No, no one in my household has ever been a member of a labor union",Yes,121916.0,14.6,0.31
Pennsylvania,1945,Male,Bisexual,No,Post-grad,Yes,White,Retired,Broadband,,Married,Democrat,Very liberal,Yes,Very important,Once a week,Several times a day,Protestant,0,Most of the time,"$80,000 - $99,999",Own,Suburb,"My parents, grandparents and I were all born in the USA",Yes,"No, no one in my household has ever been a member of a labor union",No,67035.0,6.2,0.31
Minnesota,1966,Female,Heterosexual / straight,No,2-year,Yes,Black,Full-time,Broadband,Broadband,Never married,Democrat,Very liberal,No,Very important,Once or twice a month,Several times a day,Nothing in particular,0,Most of the time,"$70,000 - $79,999",Own,Suburb,"My parents, grandparents and I were all born in the USA",Yes,"No, no one in my household has ever been a member of a labor union",No,88891.0,15.1,0.62
Missouri,1966,Male,Heterosexual / straight,No,Some college,Yes,White,Permanently disabled,Broadband,,Married,Independent,Liberal,No,Very important,Never,Several times a day,Something else,0,Most of the time,"$10,000 - $19,999",Own,Suburb,"My parents, grandparents and I were all born in the USA",Yes,"No, no one in my household has ever been a member of a labor union",No,0.0,14.2,2.15
Minnesota,1996,Female,Heterosexual / straight,No,4-year,Yes,White,Full-time,Broadband,Broadband,Never married,Republican,Conservative,No,Very important,More than once a week,Several times a day,Roman Catholic,0,Some of the time,"$30,000 - $39,999",Rent,City,"My parents, grandparents and I were all born in the USA",Yes,"No, no one in my household has ever been a member of a labor union",Yes,35358.0,11.1,1.09
Virginia,1959,Female,Heterosexual / straight,No,Post-grad,Yes,White,Full-time,Broadband,Broadband,Domestic / civil partnership,Republican,Very conservative,No,Somewhat important,Never,Several times a day,Protestant,0,Most of the time,"$250,000 - $349,999",Own,Suburb,My parents and I were born in the USA but at least one of my grandparents was an immigrant,Yes,"No, no one in my household has ever been a member of a labor union",No,266690.0,11.0,0.2
New York,1936,Male,Heterosexual / straight,No,Some college,Yes,White,Retired,Broadband,,Divorced,Democrat,Liberal,No,Not too important,Seldom,A few times a month,Roman Catholic,0,Most of the time,"$60,000 - $69,999",Rent,Town,My parents and I were born in the USA but at least one of my grandparents was an immigrant,Yes,"A member of my household was formerly a member of a labor union, but is not now",No,70261.0,11.9,0.94
Colorado,1994,Female,Bisexual,No,High school graduate,Yes,White,Full-time,Broadband,,Never married,Democrat,Liberal,No,Very important,Seldom,A few times a month,Something else,0,Only now and then,"Less than $10,000",Own,Suburb,"My parents, grandparents and I were all born in the USA",Yes,"No, no one in my household has ever been a member of a labor union",No,0.0,11.5,0.54
California,1941,Female,Heterosexual / straight,No,Some college,Yes,White,Retired,Broadband,,Married,Republican,Very conservative,Yes,Very important,Once a week,Once a day,Protestant,0,Most of the time,Prefer not to say,Own,Suburb,My parents and I were born in the USA but at least one of my grandparents was an immigrant,Yes,"No, no one in my household has ever been a member of a labor union",No,70091.0,20.3,0.45
California,1962,Female,Heterosexual / straight,No,High school graduate,Yes,White,Retired,Broadband,,Married,Independent,Conservative,Yes,Very important,A few times a year,Once a day,Nothing in particular,0,Only now and then,"$10,000 - $19,999",Rent,Suburb,"My parents, grandparents and I were all born in the USA",Yes,"No, no one in my household has ever been a member of a labor union",No,0.0,14.0,0.08
Connecticut,1977,Male,Heterosexual / straight,No,4-year,No,Hispanic,Full-time,Broadband,Broadband,Married,Republican,Conservative,Yes,Very important,Once a week,Several times a day,Protestant,3,Some of the time,"$70,000 - $79,999",Rent,Suburb,"My parents, grandparents and I were all born in the USA",Yes,"No, no one in my household has ever been a member of a labor union",No,73161.0,,1.41
Washington,1957,Male,Heterosexual / straight,No,4-year,Yes,White,Retired,Broadband,,Married,Democrat,Liberal,No,Not at all important,Seldom,Seldom,Nothing in particular,0,Most of the time,"$150,000 - $199,999",Rent,City,"My parents, grandparents and I were all born in the USA",Yes,"No, no one in my household has ever been a member of a labor union",Yes,212428.0,12.9,0.71
Georgia,1961,Male,Gay man,No,4-year,Yes,White,Full-time,Broadband,Broadband,Domestic / civil partnership,Independent,Moderate,No,Not too important,Seldom,Once a day,Nothing in particular,0,Most of the time,"$80,000 - $99,999",Own,City,"My parents, grandparents and I were all born in the USA",Yes,"No, no one in my household has ever been a member of a labor union",Yes,76057.0,11.2,0.0
Kansas,1980,Male,Heterosexual / straight,No,2-year,Yes,Black,Part-time,Broadband,Broadband,Never married,Democrat,Liberal,No,Somewhat important,Never,Never,Protestant,0,Most of the time,"$20,000 - $29,999",Rent,City,"My parents, grandparents and I were all born in the USA",Yes,"No, no one in my household has ever been a member of a labor union",No,49062.0,10.9,0.13
South Carolina,1980,Female,Heterosexual / straight,No,4-year,Yes,White,Full-time,Broadband,Broadband,Married,Republican,Liberal,No,Very important,Once a week,A few times a week,Protestant,2,Only now and then,"$60,000 - $69,999",Own,Rural area,My parents and I were born in the USA but at least one of my grandparents was an immigrant,Yes,"No, no one in my household has ever been a member of a labor union",Yes,85784.0,17.9,0.33
Delaware,1959,Male,Heterosexual / straight,No,High school graduate,Yes,White,Permanently disabled,Broadband,,Married,Republican,Conservative,Yes,Very important,Once or twice a month,A few times a week,Nothing in particular,0,Some of the time,"$30,000 - $39,999",Own,Suburb,"My parents, grandparents and I were all born in the USA",Yes,"No, no one in my household has ever been a member of a labor union",No,25456.0,24.2,0.39
New York,1986,Male,Heterosexual / straight,No,High school graduate,Yes,White,Full-time,Broadband,,Never married,Democrat,Conservative,No,Somewhat important,A few times a year,Once a week,Roman Catholic,0,Some of the time,"$80,000 - $99,999",Rent,Suburb,"My parents, grandparents and I were all born in the USA",Yes,"Yes, a member of my household is currently a union member",No,71610.0,,0.75
Indiana,1957,Female,Heterosexual / straight,No,High school graduate,Yes,White,Part-time,Broadband,,Married,Republican,Very conservative,Yes,Very important,Once or twice a month,Several times a day,Protestant,0,Some of the time,Prefer not to say,Own,Suburb,"My parents, grandparents and I were all born in the USA",Yes,"A member of my household was formerly a member of a labor union, but is not now",Yes,50780.0,6.2,1.51
Virginia,1993,Male,Gay man,No,Some college,Yes,White,Part-time,Broadband,Broadband,Never married,Republican,Conservative,No,Not at all important,Never,Never,Atheist,0,Some of the time,"$10,000 - $19,999",Own,Suburb,"My parents, grandparents and I were all born in the USA",Yes,"No, no one in my household has ever been a member of a labor union",No,0.0,11.0,0.0
New York,1958,Female,Heterosexual / straight,No,4-year,Yes,White,Permanently disabled,Broadband,,Domestic / civil partnership,Democrat,Liberal,No,Very important,Once or twice a month,Several times a day,Protestant,0,Some of the time,"$10,000 - $19,999",Rent,City,"My parents, grandparents and I were all born in the USA",Yes,"No, no one in my household has ever been a member of a labor union",No,10154.0,5.8,1.17
Idaho,1966,Male,Heterosexual / straight,No,4-year,Yes,White,Full-time,Broadband,,Married,Republican,Very conservative,Yes,Very important,Seldom,Several times a day,Nothing in particular,2,Most of the time,"$70,000 - $79,999",Own,City,My parents and I were born in the USA but at least one of my grandparents was an immigrant,Yes,"No, no one in my household has ever been a member of a labor union",No,84850.0,8.2,0.1
Massachusetts,1958,Male,Prefer not to say,No,4-year,Yes,Asian,Full-time,Broadband,Broadband,Divorced,Other,Not sure,No,Not at all important,Never,Never,Atheist,0,Some of the time,Prefer not to say,Own,Suburb,I was born in the USA but at least one of my parents is an immigrant,Yes,"No, no one in my household has ever been a member of a labor union",Yes,84052.0,17.2,0.0
Arizona,1932,Male,Heterosexual / straight,No,4-year,Yes,White,Retired,Broadband,,Widowed,Independent,Moderate,No,Not at all important,Never,Seldom,Agnostic,0,Most of the time,"$30,000 - $39,999",Rent,Suburb,My parents and I were born in the USA but at least one of my grandparents was an immigrant,Yes,"No, no one in my household has ever been a member of a labor union",Yes,47410.0,12.0,0.43
Pennsylvania,1961,Female,Heterosexual / straight,No,High school graduate,Yes,White,Retired,Broadband,,Married,Republican,Conservative,Yes,Very important,Once a week,Several times a day,Protestant,0,Most of the time,"$80,000 - $99,999",Own,Rural area,"My parents, grandparents and I were all born in the USA",Yes,"Yes, a member of my household is currently a union member",Yes,98711.0,15.6,0.65
