y,inputstate,birthyr,gender,sexuality,trans,educ,votereg,race,employ,internethome,internetwork,marstat,pid3,ideo5,pew_bornagain,pew_religimp,pew_churatd,pew_prayer,religpew,child18num,newsint,faminc_new,ownhome,urbancity,immstat,cit1,unionhh,investor,assets_estimate,response_time_minutes,volunteering_index
1,Pennsylvania,1996,Female,Prefer not to say,No,Some college,Yes,White,Unemployed,Broadband,Broadband,Never married,Democrat,Liberal,No,Not too important,A few times a year,Seldom,Something else,0,Most of the time,Prefer not to say,Other,Suburb,"My parents, grandparents and I were all born in the USA",Yes,"No, no one in my household has ever been a member of a labor union",No,19585.0,7.2,0.46
0,Maryland,1994,Female,Heterosexual / straight,No,2-year,Yes,White,Full-time,Broadband,Broadband,Married,Republican,Conservative,Yes,Very important,Once or twice a month,Several times a day,Protestant,0,Some of the time,"$70,000 - $79,999",Own,Rural area,"My parents, grandparents and I were all born in the USA",Yes,"No, no one in my household has ever been a member of a labor union",Yes,35049.0,,0.0
1,Florida,1982,Male,Heterosexual / straight,No,Post-grad,Yes,White,Full-time,Broadband,Broadband,Married,Republican,Conservative,No,Not too important,Once or twice a month,Never,Roman Catholic,4,Most of the time,"$100,000 - $119,999",Own,Suburb,My parents and I were born in the USA but at least one of my grandparents was an immigrant,Yes,"No, no one in my household has ever been a member of a labor union",No,122881.0,8.3,0.0
1,California,1937,Male,Heterosexual / straight,No,4-year,Yes,White,Retired,Broadband,,Never married,Republican,Conservative,No,Not too important,Never,Seldom,Protestant,0,Some of the time,"$120,000 - $149,999",Rent,City,"My parents, grandparents and I were all born in the USA",Yes,"No, no one in my household has ever been a member of a labor union",Yes,142406.0,17.4,0.0
0,Florida,1969,Male,Heterosexual / straight,No,Some college,Yes,White,Unemployed,Broadband,,Never married,Republican,Conservative,No,Not too important,Seldom,Seldom,Protestant,0,Most of the time,Prefer not to say,Own,Town,"My parents, grandparents and I were all born in the USA",Yes,"No, no one in my household has ever been a member of a labor union",Yes,70793.0,12.7,0.45
0,Texas,1990,Female,Heterosexual / straight,No,2-year,Yes,White,Homemaker,Broadband,Broadband,Married,Independent,Conservative,Yes,Very important,A few times a year,Several times a day,Protestant,1,Some of the time,"$50,000 - $59,999",Rent,Suburb,"My parents, grandparents and I were all born in the USA",Yes,"No, no one in my household has ever been a member of a labor union",No,46548.0,8.9,0.0
0,New Mexico,1965,Male,Heterosexual / straight,No,2-year,Yes,White,Part-time,Broadband,Broadband,Never married,Republican,Very conservative,No,Not too important,Seldom,A few times a week,Protestant,0,Most of the time,"$10,000 - $19,999",Own,Rural area,"My parents, grandparents and I were all born in the USA",Yes,"No, no one in my household has ever been a member of a labor union",No,6111.0,6.4,0.0
0,Wisconsin,1960,Male,Heterosexual / straight,No,2-year,Yes,White,Full-time,Broadband,Broadband,Married,Republican,Very conservative,No,Very important,Once a week,Several times a day,Protestant,0,Most of the time,"$150,000 - $199,999",Own,Rural area,"My parents, grandparents and I were all born in the USA",Yes,"No, no one in my household has ever been a member of a labor union",Yes,194919.0,2.1,0.0
0,Florida,1942,Female,Heterosexual / straight,No,High school graduate,Yes,White,Retired,Broadband,Broadband,Married,Republican,Conservative,Yes,Very important,Once a week,Several times a day,Roman Catholic,0,Most of the time,Prefer not to say,Own,Rural area,"My parents, grandparents and I were all born in the USA",Yes,"A member of my household was formerly a member of a labor union, but is not now",No,82560.0,12.5,0.97
1,Ohio,1973,Female,Heterosexual / straight,No,2-year,Yes,White,Temporarily laid off,Broadband,,Never married,Democrat,Not sure,No,Not at all important,Never,A few times a month,Nothing in particular,1,Hardly at all,"$30,000 - $39,999",Rent,Suburb,My parents and I were born in the USA but at least one of my grandparents was an immigrant,Yes,"A member of my household was formerly a member of a labor union, but is not now",No,29573.0,12.1,0.0
0,Louisiana,1982,Male,Prefer not to say,No,Some college,Yes,Black,Full-time,Broadband,Broadband,Never married,Democrat,Very liberal,No,Very important,Once a week,A few times a week,Protestant,0,Most of the time,Prefer not to say,Own,Rural area,"My parents, grandparents and I were all born in the USA",Yes,"No, no one in my household has ever been a member of a labor union",No,49719.0,18.9,0.0
1,Ohio,1960,Female,Heterosexual / straight,No,2-year,Yes,White,Permanently disabled,Broadband,,Widowed,Republican,Very conservative,Yes,Very important,More than once a week,Several times a day,Nothing in particular,0,Hardly at all,"$10,000 - $19,999",Rent,Town,"My parents, grandparents and I were all born in the USA",Yes,"No, no one in my household has ever been a member of a labor union",No,15677.0,11.0,0.56
1,Ohio,1996,Female,Heterosexual / straight,No,4-year,Yes,White,Student,Broadband,Broadband,Never married,Democrat,Liberal,No,Not at all important,Never,Never,Atheist,0,Most of the time,Prefer not to say,Own,Suburb,"My parents, grandparents and I were all born in the USA",Yes,"No, no one in my household has ever been a member of a labor union",Yes,94890.0,9.3,0.0
1,Alabama,1979,Female,Heterosexual / straight,No,Post-grad,Yes,White,Full-time,Broadband,Broadband,Married,Other,Not sure,No,Somewhat important,A few times a year,Several times a day,Nothing in particular,0,Most of the time,"$80,000 - $99,999",Own,Suburb,"My parents, grandparents and I were all born in the USA",Yes,"No, no one in my household has ever been a member of a labor union",Yes,65938.0,15.7,0.96
0,Arkansas,1972,Male,Heterosexual / straight,No,2-year,Yes,Mixed,Other,Dial-up,Broadband,Married,Democrat,Moderate,No,Not at all important,Seldom,Seldom,Something else,0,Most of the time,"$30,000 - $39,999",Own,Rural area,"My parents, grandparents and I were all born in the USA",Yes,"A member of my household was formerly a member of a labor union, but is not now",No,36983.0,6.0,1.05
1,California,1960,Female,Heterosexual / straight,No,4-year,Yes,Native American,Part-time,Broadband,Broadband,Married,Other,Conservative,No,Not at all important,Never,A few times a week,Something else,0,Most of the time,"$20,000 - $29,999",Own,Suburb,My parents and I were born in the USA but at least one of my grandparents was an immigrant,Yes,"A member of my household was formerly a member of a labor union, but is not now",Yes,57389.0,10.2,1.68
1,Arizona,1955,Male,Bisexual,No,Post-grad,Yes,White,Full-time,Broadband,Broadband,Married,Democrat,Very liberal,No,Not at all important,Never,Don't know,Agnostic,0,Some of the time,"$100,000 - $119,999",Own,City,"My parents, grandparents and I were all born in the USA",Yes,"No, no one in my household has ever been a member of a labor union",Yes,96865.0,11.3,0.23
0,Oklahoma,1959,Female,Heterosexual / straight,No,4-year,Yes,Native American,Permanently disabled,Broadband,,Divorced,Republican,Conservative,Yes,Very important,Once a week,Several times a day,Protestant,0,Most of the time,"$10,000 - $19,999",Own,Rural area,"My parents, grandparents and I were all born in the USA",Yes,"A member of my household was formerly a member of a labor union, but is not now",No,0.0,13.9,1.09
1,Arizona,1935,Male,Heterosexual / straight,No,4-year,Yes,White,Retired,Broadband,,Married,Republican,Very conservative,Yes,Very important,A few times a year,A few times a week,Protestant,0,Most of the time,Prefer not to say,Own,Suburb,My parents and I were born in the USA but at least one of my grandparents was an immigrant,Yes,"No, no one in my household has ever been a member of a labor union",Yes,42319.0,15.2,1.27
0,Texas,1954,Male,Heterosexual / straight,No,Post-grad,Yes,White,Retired,Broadband,,Married,Independent,Very conservative,Yes,Very important,Once a week,Several times a day,Protestant,0,Most of the time,"$80,000 - $99,999",Own,Suburb,"My parents, grandparents and I were all born in the USA",Yes,"No, no one in my household has ever been a member of a labor union",Yes,83933.0,,0.0
0,Maryland,1992,Male,Heterosexual / straight,No,High school graduate,Yes,White,Full-time,Broadband,Broadband,Married,Republican,Very conservative,Yes,Very important,More than once a week,Several times a day,Protestant,5,Some of the time,"$20,000 - $29,999",Own,Rural area,"My parents, grandparents and I were all born in the USA",Yes,"No, no one in my household has ever been a member of a labor union",Yes,69326.0,7.6,0.0
1,California,1966,Male,Heterosexual / straight,No,High school graduate,Yes,White,Full-time,Broadband,Broadband,Married,Democrat,Liberal,No,Not at all important,Never,Seldom,Nothing in particular,1,Most of the time,"$70,000 - $79,999",Rent,City,"My parents, grandparents and I were all born in the USA",Yes,"No, no one in my household has ever been a member of a labor union",No,37409.0,13.3,0.26
0,Minnesota,1972,Male,Heterosexual / straight,No,4-year,Yes,White,Full-time,Broadband,Broadband,Never married,Independent,Very liberal,No,Not at all important,Seldom,A few times a month,Agnostic,0,Most of the time,"$50,000 - $59,999",Rent,Suburb,"My parents, grandparents and I were all born in the USA",Yes,"No, no one in my household has ever been a member of a labor union",Yes,13881.0,5.9,0.0
1,Ohio,1962,Female,Heterosexual / straight,No,High school graduate,Yes,White,Homemaker,Broadband,,Married,Republican,Conservative,No,Not at all important,Never,Seldom,Agnostic,0,Most of the time,"$70,000 - $79,999",Own,Suburb,"My parents, grandparents and I were all born in the USA",Yes,"Yes, a member of my household is currently a union member",No,15595.0,,0.55
1,Florida,1958,Male,Heterosexual / straight,No,Post-grad,Yes,White,Full-time,Broadband,Broadband,Married,Democrat,Moderate,No,Not too important,A few times a year,A few times a month,Jewish,0,Most of the time,"$120,000 - $149,999",Own,Suburb,I am an immigrant to the USA and a naturalized citizen,Yes,"No, no one in my household has ever been a member of a labor union",Yes,75342.0,6.4,0.73
1,Nebraska,1982,Female,Heterosexual / straight,No,4-year,Yes,White,Full-time,Broadband,Broadband,Married,Democrat,Very liberal,No,Somewhat important,Once or twice a month,A few times a week,Roman Catholic,3,Most of the time,"$100,000 - $119,999",Own,City,"My parents, grandparents and I were all born in the USA",Yes,"Yes, a member of my household is currently a union member",Yes,157028.0,8.4,0.32
0,New York,1942,Male,Prefer not to say,No,2-year,Yes,White,Retired,Broadband,,Married,Other,Very conservative,No,Somewhat important,A few times a year,A few times a week,Protestant,0,Most of the time,Prefer not to say,Own,Rural area,My parents and I were born in the USA but at least one of my grandparents was an immigrant,Yes,"No, no one in my household has ever been a member of a labor union",Yes,87923.0,14.2,0.55
1,Ohio,1973,Male,Heterosexual / straight,No,Post-grad,Yes,White,Full-time,Broadband,Broadband,Married,Democrat,Liberal,No,Not too important,A few times a year,A few times a month,Roman Catholic,2,Most of the time,"$70,000 - $79,999",Own,City,"My parents, grandparents and I were all born in the USA",Yes,"No, no one in my household has ever been a member of a labor union",Yes,85050.0,7.8,0.0
0,Virginia,1960,Male,Heterosexual / straight,No,2-year,Yes,White,Full-time,Broadband,Broadband,Married,Republican,Very conservative,Yes,Very important,Once a week,Several times a day,Protestant,0,Most of the time,"$250,000 - $349,999",Own,Suburb,"My parents, grandparents and I were all born in the USA",Yes,"No, no one in my household has ever been a member of a labor union",No,282157.0,15.0,0.32
1,Colorado,1960,Male,Heterosexual / straight,No,4-year,Yes,White,Full-time,Broadband,Broadband,Never married,Republican,Very conservative,No,Very important,Seldom,Once a day,Roman Catholic,0,Most of the time,"$30,000 - $39,999",Own,Town,"My parents, grandparents and I were all born in the USA",Yes,"A member of my household was formerly a member of a labor union, but is not now",Yes,43286.0,13.2,1.62
1,Texas,1962,Male,Heterosexual / straight,No,4-year,Yes,White,Part-time,Broadband,Broadband,Never married,Republican,Very conservative,Yes,Very important,More than once a week,Once a day,Something else,0,Some of the time,Prefer not to say,Own,Suburb,"My parents, grandparents and I were all born in the USA",Yes,"No, no one in my household has ever been a member of a labor union",No,58514.0,10.1,1.56
1,Georgia,1946,Female,Heterosexual / straight,No,High school graduate,Yes,White,Retired,Broadband,Broadband,Married,Republican,Very conservative,Yes,Very important,Seldom,Several times a day,Protestant,0,Most of the time,"$100,000 - $119,999",Own,Town,"My parents, grandparents and I were all born in the USA",Yes,"Yes, a member of my household is currently a union member",No,151102.0,9.8,1.28
0,New York,1988,Female,Heterosexual / straight,No,4-year,Yes,Asian,Homemaker,Broadband,,Married,Independent,Liberal,No,Very important,Once a week,Once a week,Roman Catholic,2,Only now and then,"$40,000 - $49,999",Rent,Town,I am an immigrant to the USA and a naturalized citizen,Yes,"Yes, a member of my household is currently a union member",No,90288.0,8.4,0.33
1,California,1986,Female,Heterosexual / straight,No,Some college,Yes,Hispanic,Full-time,Broadband,Broadband,Domestic / civil partnership,Democrat,Conservative,No,Somewhat important,Never,Seldom,Roman Catholic,2,Only now and then,"$80,000 - $99,999",Own,City,I was born in the USA but at least one of my parents is an immigrant,Yes,"No, no one in my household has ever been a member of a labor union",No,107571.0,2.9,0.0
0,Tennessee,1952,Male,Heterosexual / straight,No,Post-grad,Yes,White,Retired,Broadband,,Married,Independent,Conservative,Yes,Very important,More than once a week,Once a day,Protestant,0,Most of the time,"$100,000 - $119,999",Own,Rural area,"My parents, grandparents and I were all born in the USA",Yes,"A member of my household was formerly a member of a labor union, but is not now",Yes,67165.0,18.6,1.62
1,North Carolina,1938,Male,Heterosexual / straight,No,Post-grad,Yes,White,Retired,Broadband,,Married,Independent,Liberal,No,Not at all important,Never,Never,Atheist,0,Most of the time,"$100,000 - $119,999",Own,Rural area,"My parents, grandparents and I were all born in the USA",Yes,"No, no one in my household has ever been a member of a labor union",No,71234.0,12.5,0.01
1,Texas,1967,Male,Gay man,No,2-year,Yes,Other,Full-time,Broadband,Broadband,Married,Democrat,Liberal,No,Not too important,Never,Seldom,Roman Catholic,0,Most of the time,"$120,000 - $149,999",Own,City,My parents and I were born in the USA but at least one of my grandparents was an immigrant,Yes,"No, no one in my household has ever been a member of a labor union",No,158215.0,11.1,0.0
1,Pennsylvania,1975,Female,Heterosexual / straight,No,High school graduate,Yes,White,Full-time,Broadband,Broadband,Married,Democrat,Not sure,No,Not too important,Never,Seldom,Nothing in particular,0,Don't know,"$120,000 - $149,999",Other,Suburb,"My parents, grandparents and I were all born in the USA",Yes,"Yes, a member of my household is currently a union member",No,72378.0,8.5,0.0
0,Missouri,1950,Male,Heterosexual / straight,No,2-year,Yes,White,Full-time,Broadband,Broadband,Married,Republican,Very conservative,No,Somewhat important,Once a week,A few times a week,Roman Catholic,0,Most of the time,"$40,000 - $49,999",Own,Rural area,"My parents, grandparents and I were all born in the USA",Yes,"No, no one in my household has ever been a member of a labor union",No,45704.0,12.7,0.0
1,Maryland,1960,Male,Heterosexual / straight,No,Post-grad,Yes,White,Full-time,Broadband,Broadband,Married,Republican,Very conservative,Yes,Very important,More than once a week,Several times a day,Protestant,0,Most of the time,"$200,000 - $249,999",Own,Town,"My parents, grandparents and I were all born in the USA",Yes,"No, no one in my household has ever been a member of a labor union",Yes,214132.0,1.0,0.47
0,Florida,1987,Female,Heterosexual / straight,No,Some college,Yes,Black,Full-time,Broadband,Broadband,Never married,Democrat,Very conservative,Yes,Very important,Once or twice a month,Several times a day,Protestant,0,Only now and then,"$30,000 - $39,999",Rent,City,"My parents, grandparents and I were all born in the USA",Yes,"No, no one in my household has ever been a member of a labor union",No,30370.0,3.3,0.2
0,Idaho,1950,Male,Heterosexual / straight,No,Some college,Yes,White,Retired,Broadband,Broadband,Divorced,Independent,Moderate,No,Not too important,Seldom,Once a week,Nothing in particular,0,Most of the time,"$30,000 - $39,999",Own,Rural area,"My parents, grandparents and I were all born in the USA",Yes,"No, no one in my household has ever been a member of a labor union",Yes,45197.0,6.7,0.7
1,Maryland,1960,Female,Heterosexual / straight,No,Post-grad,Yes,White,Full-time,Broadband,Broadband,Married,Democrat,Liberal,No,Very important,Once a week,Several times a day,Protestant,0,Most of the time,"$80,000 - $99,999",Own,Suburb,"My parents, grandparents and I were all born in the USA",Yes,"No, no one in my household has ever been a member of a labor union",Yes,133364.0,10.2,0.33
0,Michigan,1978,Female,Heterosexual / straight,No,Some college,Yes,White,Part-time,Broadband,Broadband,Married,Independent,Conservative,Yes,Very important,Once a week,Several times a day,Protestant,2,Most of the time,"$50,000 - $59,999",Own,Rural area,"My parents, grandparents and I were all born in the USA",Yes,"No, no one in my household has ever been a member of a labor union",No,39342.0,7.3,0.19
1,Mississippi,1965,Male,Heterosexual / straight,No,Post-grad,Yes,White,Full-time,Broadband,Broadband,Married,Independent,Moderate,Yes,Very important,Once a week,Several times a day,Protestant,0,Most of the time,"$150,000 - $199,999",Own,Rural area,"My parents, grandparents and I were all born in the USA",Yes,"No, no one in my household has ever been a member of a labor union",Yes,197308.0,11.9,1.17
1,New York,1982,Male,Gay man,No,Post-grad,Yes,Asian,Full-time,Broadband,Broadband,Domestic / civil partnership,Democrat,Moderate,No,Somewhat important,Seldom,A few times a week,Hindu,0,Most of the time,"$120,000 - $149,999",Rent,City,I am an immigrant to the USA and a naturalized citizen,Yes,"Yes, a member of my household is currently a union member",Yes,111311.0,6.4,0.32
0,Michigan,1939,Male,Heterosexual / straight,No,Some college,Yes,White,Retired,Broadband,,Widowed,Independent,Conservative,Yes,Very important,Once a week,Several times a day,Protestant,0,Most of the time,Prefer not to say,Own,Rural area,"My parents, grandparents and I were all born in the USA",Yes,"Yes, a member of my household is currently a union member",No,32792.0,12.7,0.35
